2024-11-17 06:01:41 - System Idle Process (PID: 0) - CPU: 1108.1%, MEM: 4.8108945593833975e-05%
2024-11-17 06:02:42 - System Idle Process (PID: 0) - CPU: 1109.7%, MEM: 4.8108945593833975e-05%
2024-11-17 06:03:42 - System Idle Process (PID: 0) - CPU: 1097.6%, MEM: 4.8108945593833975e-05%
2024-11-17 06:03:42 - VRChat.exe (PID: 21632) - CPU: 81.6%, MEM: 40.43374063168489%
2024-11-17 06:04:43 - System Idle Process (PID: 0) - CPU: 1101.5%, MEM: 4.8108945593833975e-05%
2024-11-17 06:05:43 - System Idle Process (PID: 0) - CPU: 1096.6%, MEM: 4.8108945593833975e-05%
2024-11-17 06:06:43 - System Idle Process (PID: 0) - CPU: 1100.9%, MEM: 4.8108945593833975e-05%
2024-11-17 06:07:44 - System Idle Process (PID: 0) - CPU: 1177.2%, MEM: 4.8108945593833975e-05%
2024-11-17 06:08:44 - System Idle Process (PID: 0) - CPU: 1184.6%, MEM: 4.8108945593833975e-05%
2024-11-17 06:09:44 - System Idle Process (PID: 0) - CPU: 1177.5%, MEM: 4.8108945593833975e-05%
2024-11-17 06:10:45 - System Idle Process (PID: 0) - CPU: 1178.4%, MEM: 4.8108945593833975e-05%
2024-11-17 06:11:45 - System Idle Process (PID: 0) - CPU: 1155.5%, MEM: 4.8108945593833975e-05%
2024-11-17 06:12:46 - System Idle Process (PID: 0) - CPU: 1159.2%, MEM: 4.8108945593833975e-05%
2024-11-17 06:13:46 - System Idle Process (PID: 0) - CPU: 1155.5%, MEM: 4.8108945593833975e-05%
2024-11-17 06:14:46 - System Idle Process (PID: 0) - CPU: 1152.8%, MEM: 4.8108945593833975e-05%
2024-11-17 06:15:47 - System Idle Process (PID: 0) - CPU: 1169.7%, MEM: 4.8108945593833975e-05%
2024-11-17 06:16:47 - System Idle Process (PID: 0) - CPU: 1167.4%, MEM: 4.8108945593833975e-05%
2024-11-17 06:17:47 - System Idle Process (PID: 0) - CPU: 1175.2%, MEM: 4.8108945593833975e-05%
2024-11-17 06:18:48 - System Idle Process (PID: 0) - CPU: 1171.5%, MEM: 4.8108945593833975e-05%
2024-11-17 06:19:48 - System Idle Process (PID: 0) - CPU: 1172.7%, MEM: 4.8108945593833975e-05%
2024-11-17 06:20:48 - System Idle Process (PID: 0) - CPU: 1174.5%, MEM: 4.8108945593833975e-05%
2024-11-17 06:21:48 - System Idle Process (PID: 0) - CPU: 1181.2%, MEM: 4.8108945593833975e-05%
2024-11-17 06:22:49 - System Idle Process (PID: 0) - CPU: 1180.9%, MEM: 4.8108945593833975e-05%
2024-11-17 06:23:49 - System Idle Process (PID: 0) - CPU: 1180.3%, MEM: 4.8108945593833975e-05%
2024-11-17 06:24:49 - System Idle Process (PID: 0) - CPU: 1179.9%, MEM: 4.8108945593833975e-05%
2024-11-17 06:25:50 - System Idle Process (PID: 0) - CPU: 1176.0%, MEM: 4.8108945593833975e-05%
2024-11-17 06:26:50 - System Idle Process (PID: 0) - CPU: 1152.1%, MEM: 4.8108945593833975e-05%
2024-11-17 06:27:50 - System Idle Process (PID: 0) - CPU: 1174.5%, MEM: 4.8108945593833975e-05%
2024-11-17 06:28:51 - System Idle Process (PID: 0) - CPU: 1176.3%, MEM: 4.8108945593833975e-05%
2024-11-17 06:29:51 - System Idle Process (PID: 0) - CPU: 1167.0%, MEM: 4.8108945593833975e-05%
2024-11-17 06:30:51 - System Idle Process (PID: 0) - CPU: 1165.6%, MEM: 4.8108945593833975e-05%
2024-11-17 06:31:52 - System Idle Process (PID: 0) - CPU: 1184.6%, MEM: 4.8108945593833975e-05%
2024-11-17 06:32:52 - System Idle Process (PID: 0) - CPU: 1182.5%, MEM: 4.8108945593833975e-05%
